"ts","checkin_terminal","airline_grouped_hash","pax_arrival_profile"
"2023-06-15 00:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","57"
"2023-06-15 00:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","52"
"2023-06-15 00:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","50"
"2023-06-15 00:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","50"
"2023-06-15 00:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","42"
"2023-06-15 00:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","43"
"2023-06-15 00:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","37"
"2023-06-15 00:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","31"
"2023-06-15 01:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","28"
"2023-06-15 01:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","26"
"2023-06-15 01:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","7"
"2023-06-15 02:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","5"
"2023-06-15 02:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","6"
"2023-06-15 02:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","6"
"2023-06-15 02:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","7"
"2023-06-15 02:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","11"
"2023-06-15 02:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","14"
"2023-06-15 03:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","15"
"2023-06-15 03:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","16"
"2023-06-15 03:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","19"
"2023-06-15 03:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","21"
"2023-06-15 03:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","22"
"2023-06-15 03:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","31"
"2023-06-15 03:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","33"
"2023-06-15 03:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","36"
"2023-06-15 04:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","38"
"2023-06-15 04:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","41"
"2023-06-15 04:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","44"
"2023-06-15 04:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","47"
"2023-06-15 04:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","47"
"2023-06-15 04:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","66"
"2023-06-15 04:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","69"
"2023-06-15 04:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","70"
"2023-06-15 05:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","74"
"2023-06-15 05:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","80"
"2023-06-15 05:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","82"
"2023-06-15 05:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","84"
"2023-06-15 05:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","82"
"2023-06-15 05:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","82"
"2023-06-15 05:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","75"
"2023-06-15 06:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","76"
"2023-06-15 06:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","78"
"2023-06-15 06:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","75"
"2023-06-15 06:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","82"
"2023-06-15 06:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","88"
"2023-06-15 07:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","94"
"2023-06-15 07:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","91"
"2023-06-15 07:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","94"
"2023-06-15 07:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","95"
"2023-06-15 07:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","93"
"2023-06-15 08:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","98"
"2023-06-15 08:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","101"
"2023-06-15 08:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","98"
"2023-06-15 08:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","103"
"2023-06-15 08:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","99"
"2023-06-15 08:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","92"
"2023-06-15 09:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","80"
"2023-06-15 09:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","78"
"2023-06-15 09:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","77"
"2023-06-15 09:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","78"
"2023-06-15 09:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","75"
"2023-06-15 09:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","74"
"2023-06-15 09:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","72"
"2023-06-15 10:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","72"
"2023-06-15 10:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","68"
"2023-06-15 10:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","61"
"2023-06-15 10:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","62"
"2023-06-15 10:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","61"
"2023-06-15 10:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","56"
"2023-06-15 11:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","55"
"2023-06-15 11:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","55"
"2023-06-15 11:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","55"
"2023-06-15 11:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","58"
"2023-06-15 12:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","67"
"2023-06-15 12:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","78"
"2023-06-15 12:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","80"
"2023-06-15 12:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","85"
"2023-06-15 12:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","90"
"2023-06-15 13:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","85"
"2023-06-15 13:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","92"
"2023-06-15 13:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","91"
"2023-06-15 13:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","95"
"2023-06-15 13:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","97"
"2023-06-15 13:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","96"
"2023-06-15 13:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","95"
"2023-06-15 14:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","102"
"2023-06-15 14:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","106"
"2023-06-15 14:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","100"
"2023-06-15 14:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","98"
"2023-06-15 14:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","99"
"2023-06-15 15:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","98"
"2023-06-15 15:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","98"
"2023-06-15 15:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","102"
"2023-06-15 15:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","107"
"2023-06-15 15:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","111"
"2023-06-15 15:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","113"
"2023-06-15 15:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","116"
"2023-06-15 16:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","115"
"2023-06-15 16:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","111"
"2023-06-15 16:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","104"
"2023-06-15 16:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","97"
"2023-06-15 16:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","91"
"2023-06-15 16:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","85"
"2023-06-15 17:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","83"
"2023-06-15 17:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","79"
"2023-06-15 17:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","87"
"2023-06-15 17:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","89"
"2023-06-15 17:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","85"
"2023-06-15 17:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","84"
"2023-06-15 17:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","86"
"2023-06-15 18:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","88"
"2023-06-15 18:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","94"
"2023-06-15 18:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","98"
"2023-06-15 18:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","101"
"2023-06-15 18:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","108"
"2023-06-15 18:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","107"
"2023-06-15 18:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","107"
"2023-06-15 19:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","101"
"2023-06-15 19:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","99"
"2023-06-15 19:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","102"
"2023-06-15 19:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","106"
"2023-06-15 19:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","107"
"2023-06-15 19:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","101"
"2023-06-15 20:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","96"
"2023-06-15 20:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","105"
"2023-06-15 20:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","102"
"2023-06-15 20:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","104"
"2023-06-15 20:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","108"
"2023-06-15 21:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","115"
"2023-06-15 21:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","113"
"2023-06-15 21:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","106"
"2023-06-15 21:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","106"
"2023-06-15 21:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","93"
"2023-06-15 21:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","89"
"2023-06-15 21:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","89"
"2023-06-15 21:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","88"
"2023-06-15 22:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","69"
"2023-06-15 22:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","73"
"2023-06-15 22:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","70"
"2023-06-15 22:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","72"
"2023-06-15 22:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","75"
"2023-06-15 23:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","79"
"2023-06-15 23:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","81"
"2023-06-15 23:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","78"
"2023-06-15 23:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","80"
"2023-06-15 23:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","80"
"2023-06-15 23:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","73"
"2023-06-15 23:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","74"
"2023-06-15 23:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","72"
"2023-06-16 00:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","67"
"2023-06-16 00:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","58"
"2023-06-16 00:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","51"
"2023-06-16 00:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","46"
"2023-06-16 00:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","37"
"2023-06-16 00:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","32"
"2023-06-16 01:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","28"
"2023-06-16 01:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","25"
"2023-06-16 01:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","15"
"2023-06-16 01:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","11"
"2023-06-16 01:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","7"
"2023-06-16 01:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","4"
"2023-06-16 02:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","5"
"2023-06-16 02:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","6"
"2023-06-16 02:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","6"
"2023-06-16 02:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","7"
"2023-06-16 02:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","8"
"2023-06-16 02:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","9"
"2023-06-16 02:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","12"
"2023-06-16 03:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","18"
"2023-06-16 03:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","21"
"2023-06-16 03:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","22"
"2023-06-16 03:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","24"
"2023-06-16 03:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","31"
"2023-06-16 03:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","35"
"2023-06-16 04:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","37"
"2023-06-16 04:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","40"
"2023-06-16 04:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","46"
"2023-06-16 04:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","54"
"2023-06-16 05:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","75"
"2023-06-16 05:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","84"
"2023-06-16 05:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","85"
"2023-06-16 05:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","84"
"2023-06-16 05:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","86"
"2023-06-16 05:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","80"
"2023-06-16 06:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","82"
"2023-06-16 06:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","83"
"2023-06-16 06:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","82"
"2023-06-16 06:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","85"
"2023-06-16 06:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","85"
"2023-06-16 06:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","87"
"2023-06-16 06:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","92"
"2023-06-16 06:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","95"
"2023-06-16 07:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","95"
"2023-06-16 07:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","95"
"2023-06-16 07:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","97"
"2023-06-16 07:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","96"
"2023-06-16 07:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","94"
"2023-06-16 07:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","93"
"2023-06-16 07:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","95"
"2023-06-16 07:40:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","95"
"2023-06-16 08:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","86"
"2023-06-16 08:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","91"
"2023-06-16 08:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","91"
"2023-06-16 08:35:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","91"
"2023-06-16 08:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","87"
"2023-06-16 09:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","80"
"2023-06-16 09:10:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","76"
"2023-06-16 09:20:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","79"
"2023-06-16 09:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","76"
"2023-06-16 09:45:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","77"
"2023-06-16 09:50:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","76"
"2023-06-16 10:00:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","75"
"2023-06-16 10:05:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","70"
"2023-06-16 10:15:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","63"
"2023-06-16 10:25:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","65"
"2023-06-16 10:30:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","67"
"2023-06-16 10:55:00.000 +0300","B","7bac920cc30511dfb81ca2242b293990","60"
