checkin_terminal,airline_grouped_hash,arrival_profile,value,season
B,7bac920cc30511dfb81ca2242b293990,180,0.008568712,S23
B,7bac920cc30511dfb81ca2242b293990,185,0.008134802,S23
B,7bac920cc30511dfb81ca2242b293990,190,0.007548143,S23
B,7bac920cc30511dfb81ca2242b293990,195,0.007106904,S23
B,7bac920cc30511dfb81ca2242b293990,200,0.006525986,S23
B,7bac920cc30511dfb81ca2242b293990,205,0.005921999,S23
B,7bac920cc30511dfb81ca2242b293990,210,0.005451445,S23
B,7bac920cc30511dfb81ca2242b293990,215,0.005026343,S23
B,7bac920cc30511dfb81ca2242b293990,220,0.004825652,S23
B,7bac920cc30511dfb81ca2242b293990,225,0.00452763,S23
B,7bac920cc30511dfb81ca2242b293990,230,0.004251088,S23
B,7bac920cc30511dfb81ca2242b293990,235,0.003358501,S23
B,7bac920cc30511dfb81ca2242b293990,240,0.003355216,S23
B,7bac920cc30511dfb81ca2242b293990,245,0.002934158,S23
B,7bac920cc30511dfb81ca2242b293990,250,0.002980657,S23
B,7bac920cc30511dfb81ca2242b293990,255,0.002603968,S23
B,7bac920cc30511dfb81ca2242b293990,260,0.002309195,S23
B,7bac920cc30511dfb81ca2242b293990,265,0.002462629,S23
B,7bac920cc30511dfb81ca2242b293990,270,0.001897993,S23
B,7bac920cc30511dfb81ca2242b293990,275,0.001842973,S23
B,7bac920cc30511dfb81ca2242b293990,280,0.001694774,S23
B,7bac920cc30511dfb81ca2242b293990,285,0.001746112,S23
B,7bac920cc30511dfb81ca2242b293990,290,0.001632859,S23
B,7bac920cc30511dfb81ca2242b293990,295,0.001678492,S23
B,7bac920cc30511dfb81ca2242b293990,300,0.001610404,S23
B,7bac920cc30511dfb81ca2242b293990,305,0.00143762,S23
B,7bac920cc30511dfb81ca2242b293990,310,0.001413612,S23
B,7bac920cc30511dfb81ca2242b293990,315,0.001348231,S23
B,7bac920cc30511dfb81ca2242b293990,320,0.001350253,S23
B,7bac920cc30511dfb81ca2242b293990,325,0.001320577,S23
B,7bac920cc30511dfb81ca2242b293990,330,0.001474408,S23
B,7bac920cc30511dfb81ca2242b293990,335,0.001563471,S23
B,7bac920cc30511dfb81ca2242b293990,340,0.001411554,S23
B,7bac920cc30511dfb81ca2242b293990,345,0.001386571,S23
B,7bac920cc30511dfb81ca2242b293990,350,0.001270936,S23
B,7bac920cc30511dfb81ca2242b293990,355,0.000816231,S23
B,7bac920cc30511dfb81ca2242b293990,360,0.000595792,S23
B,7bac920cc30511dfb81ca2242b293990,165,0.012307043,S23
B,7bac920cc30511dfb81ca2242b293990,170,0.011327594,S23
B,7bac920cc30511dfb81ca2242b293990,175,0.010234894,S23
B,7bac920cc30511dfb81ca2242b293990,40,0.028985538,S23
B,7bac920cc30511dfb81ca2242b293990,45,0.033684255,S23
B,7bac920cc30511dfb81ca2242b293990,50,0.039366789,S23
B,7bac920cc30511dfb81ca2242b293990,55,0.042543697,S23
B,7bac920cc30511dfb81ca2242b293990,60,0.045949455,S23
B,7bac920cc30511dfb81ca2242b293990,65,0.048879389,S23
B,7bac920cc30511dfb81ca2242b293990,70,0.048822312,S23
B,7bac920cc30511dfb81ca2242b293990,75,0.049896997,S23
B,7bac920cc30511dfb81ca2242b293990,80,0.048132365,S23
B,7bac920cc30511dfb81ca2242b293990,85,0.048570428,S23
B,7bac920cc30511dfb81ca2242b293990,90,0.046235022,S23
B,7bac920cc30511dfb81ca2242b293990,95,0.044208109,S23
B,7bac920cc30511dfb81ca2242b293990,100,0.039430148,S23
B,7bac920cc30511dfb81ca2242b293990,105,0.038568825,S23
B,7bac920cc30511dfb81ca2242b293990,110,0.035811784,S23
B,7bac920cc30511dfb81ca2242b293990,115,0.031931934,S23
B,7bac920cc30511dfb81ca2242b293990,120,0.02916103,S23
B,7bac920cc30511dfb81ca2242b293990,125,0.025449884,S23
B,7bac920cc30511dfb81ca2242b293990,130,0.023541891,S23
B,7bac920cc30511dfb81ca2242b293990,135,0.021744731,S23
B,7bac920cc30511dfb81ca2242b293990,140,0.019903166,S23
B,7bac920cc30511dfb81ca2242b293990,145,0.017078,S23
B,7bac920cc30511dfb81ca2242b293990,150,0.01520286,S23
B,7bac920cc30511dfb81ca2242b293990,155,0.014313522,S23
B,7bac920cc30511dfb81ca2242b293990,160,0.013332449,S23
