ident_bag,i_id,pax_id_hash,MessageReceivedDate,MessageProcessedDate,DateEvent,TagNumber,local_or_transfer
62777313,8634963,a49866effdd70a9315dc4f4c9a6eee57,2023-07-06 20:16:03.733,2023-07-06 20:16:07.430,2023-07-06 20:16:07.427,555238816,T
62784097,8634961,9cc19a053cd0c059657655ef84c59fbe,2023-07-07 02:56:14.650,2023-07-07 02:56:16.170,2023-07-07 02:56:16.163,555576391,T
62784447,8634971,c44000ab410411488ea07d6346e94efc,2023-07-07 03:28:54.557,2023-07-07 03:28:55.223,2023-07-07 03:28:55.220,555319401,T
62785337,8634985,cf36b58dfd047151888937c8b7a4f6b3,2023-07-07 04:30:54.280,2023-07-07 04:30:54.850,2023-07-07 04:30:54.847,555295433,T
62787795,8634986,6e522e5bb974b80a1b9f9bb35a894b70,2023-07-07 06:14:05.490,2023-07-07 06:14:06.670,2023-07-07 06:14:06.667,555368400,T
62787822,8634986,c69e95af7f1dfe7effc524199a9b2dcb,2023-07-07 06:14:48.360,2023-07-07 06:14:50.850,2023-07-07 06:14:50.843,555368401,T
62788204,8634974,42374ac1b48f661cc21906adecc95c69,2023-07-07 06:28:35.290,2023-07-07 06:28:37.583,2023-07-07 06:28:37.577,555116238,T
62788914,8634993,045087a8876bfa3286d20d6ce38e3f78,2023-07-07 06:54:56.323,2023-07-07 06:54:58.700,2023-07-07 06:54:58.697,555294810,T
62788932,8634993,6b5d7caf53c183fa0681b9721536dbed,2023-07-07 06:55:32.590,2023-07-07 06:55:34.793,2023-07-07 06:55:34.790,555294811,T
62790506,8634957,317246f976024f26a747e7cbd0152f26,2023-07-07 08:06:58.380,2023-07-07 08:06:59.307,2023-07-07 08:06:59.303,555167187,T
62790530,8634957,a17a494683950b2f73d1e20cadfc111e,2023-07-07 08:07:43.600,2023-07-07 08:07:44.163,2023-07-07 08:07:44.160,555167188,T
62791399,8634962,a99a119b44f8f28a694f878b81180c2a,2023-07-07 08:40:29.667,2023-07-07 08:40:34.950,2023-07-07 08:40:34.943,555359207,T
62792083,8634971,445bff6092b949addcd61d77e24d32af,2023-07-07 09:03:22.967,2023-07-07 09:03:25.460,2023-07-07 09:03:25.453,555366801,T
62792731,8634974,10c896c50153f841aa3cd4b37a927d3f,2023-07-07 09:26:53.703,2023-07-07 09:26:57.330,2023-07-07 09:26:57.327,555116239,T
62792840,8634971,d80a14a980b66a1eb81dabfc6e45a3c8,2023-07-07 09:30:38.520,2023-07-07 09:30:39.217,2023-07-07 09:30:39.213,555374901,L
